Strategy,Chunks,Avg_Chars,Time(s),p25,p50,p75,p90,p95,max,avg_tokens,semantic_purity,boundary_alignment,retrieval_hit_rate,overlap_ratio,coverage_score,Preview
01_Fixed_256,59,254,0.0084,51,55,60,70,84,86,57,0.763,0.254,1.0,-0.004,1.002,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
02_Fixed_512,30,501,0.0118,104,108,118,140,145,163,112,0.799,0.2,1.0,-0.002,1.001,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
03_Fixed_1024,15,1003,0.0165,209,223,245,259,269,281,224,0.823,0.267,1.0,-0.001,1.001,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
04_Token_512,8,1882,4.4309,448,456,463,466,466,467,418,0.844,0.375,1.0,-0.0,1.0,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
05_Sliding_10pct,33,504,0.0125,103,111,124,140,148,167,113,0.809,0.242,1.0,-0.002,1.107,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
06_Sliding_50pct,58,510,0.0191,103,108,118,141,146,163,114,0.86,0.259,1.0,-0.002,1.971,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
07_Recursive,32,472,0.0005,93,104,115,126,141,160,105,0.793,0.406,1.0,-0.002,1.006,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
08_NLTK_Sentence,37,407,0.033,67,85,101,137,147,227,90,0.799,0.351,0.8,-0.002,1.004,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
09_Regex_Headings,7,2150,0.0002,141,168,769,1144,1247,1351,478,0.815,0.714,1.0,-0.0,1.0,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction)...
10_Regex_Recursive,24,675,0.0006,145,157,172,190,194,217,149,0.799,0.417,1.0,-0.001,1.078,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction)...
11_Semantic_Percentile,7,2150,1.8299,318,500,661,787,833,879,478,0.779,0.286,1.0,-0.0,1.0,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
12_Semantic_StdDev,2,7530,1.8225,906,1675,2443,2904,3058,3212,1675,0.707,1.0,1.0,-0.0,1.0,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
13_Semantic_IQR,6,2509,1.8236,228,612,841,987,1041,1096,558,0.762,0.333,1.0,-0.0,1.0,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction) Bench I: Mr. Justice U...
14_Regex_Semantic,13,1157,1.4296,52,145,448,570,713,894,257,0.771,0.385,1.0,-0.001,1.0,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction)...
15_Token_Aware_Recursive,34,444,0.015,92,101,116,137,145,168,99,0.789,0.412,1.0,-0.002,1.005,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction)...
16_Double_Pass_Refined,30,549,0.0006,109,121,140,154,156,168,121,0.816,0.233,1.0,-0.002,1.096,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction)...
17_Adaptive_Size,33,496,0.0005,92,115,126,152,154,157,110,0.811,0.273,1.0,-0.002,1.09,IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdiction)...
18_Metadata_Simple,7,2176,0.0002,157,184,785,1160,1263,1367,494,0.867,0.714,1.0,-0.0,1.012,CASE: C.P.L.A.1417_2022 | IN THE SUPREME COURT OF PAKISTAN (Appellate Jurisdicti...
19_Metadata_Rich,7,2232,0.0002,159,186,787,1162,1265,1369,496,0.872,0.714,1.0,-0.0,1.038,TYPE: Civil Petition for Leave to Appeal | REGISTRY: Principal Seat | YEAR: 2022...
20_FYP_FINAL_PRODUCTION,19,942,0.01,203,230,251,268,273,300,218,0.894,0.316,1.0,-0.001,1.19,CASE: C.P.L.A.1417_2022 | TYPE: Civil Petition for Leave to Appeal | REGISTRY: P...
